,Id,id2,ArtistName,SongTitle
0,TRAAAAW128F429D538,SOMZWCG12A8C13C480,Casual,I Didn't Mean To
1,TRAAABD128F429CF47,SOCIWDW12A8C13D406,The Box Tops,Soul Deep
2,TRAAADZ128F9348C2E,SOXVLOJ12AB0189215,Sonora Santanera,Amor De Cabaret
3,TRAAAEF128F4273421,SONHOTT12A8C13493C,Adam Ant,Something Girls
4,TRAAAFD128F92F423A,SOFSOCN12A8C143F5D,Gob,Face the Ashes
5,TRAAAMO128F1481E7F,SOYMRWW12A6D4FAB14,Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version)
6,TRAAAMQ128F1460CD3,SOMJBYD12A6D4F8557,Rated R,Keepin It Real (Skit)
7,TRAAAPK128E0786D96,SOHKNRJ12A6701D1F8,Tweeterfriendly Music,Drop of Rain
8,TRAAARJ128F9320760,SOIAZJW12AB01853F1,Planet P Project,Pink World
9,TRAAAVG12903CFA543,SOUDSGM12AC9618304,Clp,Insatiable (Instrumental Version)
10,TRAAAVO128F93133D4,SOQHXMF12AB0182363,JennyAnyKind,Young Boy Blues
11,TRAABCL128F4286650,SOKEJEJ12A8C13E0D0,Wayne Watson,The Urgency (LP Version)
12,TRAABDL12903CAABBA,SOMUYGI12AB0188633,Andy Andy,La Culpa
13,TRAABJL12903CDCF1A,SORAMLE12AB017C8B0,Bob Azzam,Auguri Cha Cha
14,TRAABJV128F1460C49,SOBONFF12A6D4F84D8,Lionel Richie,Tonight Will Be Alright
15,TRAABLR128F423B7E3,SOHUOAP12A8AE488E9,Blue Rodeo,Floating
16,TRAABNV128F425CEE1,SOUQQEA12A8C134B1B,Richard Souther,High Tide
17,TRAABRB128F9306DD5,SOILPQQ12AB017E82A,Faiz Ali Faiz,Sohna Nee Sohna Data
18,TRAABVM128F92CA9DC,SOXLBJT12A8C140925,Tesla,Caught In A Dream
19,TRAABXG128F9318EBD,SOZVMJI12AB01808AF,lextrical,Synthetic Dream
20,TRAABYN12903CFD305,SOWTBJW12AC468AC6E,Jimmy Wakely,Broken-Down Merry-Go-Round
21,TRAABYW128F4244559,SOBEBDG12A58A76D60,Alice Stuart,Kassie Jones
22,TRAACCG128F92E8A55,SOZCTXZ12AB0182364,Elena,Setanta matins
23,TRAACER128F4290F96,SOBBUGU12A8C13E95D,The Dillinger Escape Plan,Setting Fire to Sleeping Giants
24,TRAACFV128F935E50B,SOBLGCN12AB0183212,SUE THOMPSON,James (Hold The Ladder Steady)
25,TRAACHN128F1489601,SOPSWQW12A6D4F8781,Five Bolt Main,Made Like This (Live)
26,TRAACIW12903CC0F6D,SOZQDIU12A58A7BCF6,Clp,Superconfidential
27,TRAACLV128F427E123,SONYPOM12A8C13B2D7,Tim Wilson,I Think My Wife Is Running Around On Me (Taco Hell)
28,TRAACNS128F14A2DF5,SOBZBAZ12A6D4F8742,Willie Bobo,Spanish Grease
29,TRAACOW128F933E35F,SOVYKGO12AB0187199,Faye Adams,Crazy Mixed Up World
30,TRAACPE128F421C1B9,SOGNCJP12A58A80271,Terry Callier,Do You Finally Need A Friend
31,TRAACQT128F9331780,SOLLHMX12AB01846DC,John Wesley,The Emperor Falls
32,TRAACSL128F93462F4,SOYTPEP12AB0180E7B,The Shangri-Las,Twist and Shout
33,TRAACTB12903CAAF15,SOGXHEG12AB018653E,Billie Jo Spears,It Makes No Difference Now
34,TRAACVS128E078BE39,SOOLYAZ12A6701F4A6,Mike Jones (Featuring CJ_ Mello & Lil' Bran),Laws Patrolling (Album Version)
